      +40.0000       +5.0000       +0.0000 mm
       +0.0000       +5.0000       +0.0000 mm
       +0.0000       +0.0000       +0.0000 mm
       +5.0000       +5.0000       +0.0000 mm
       +0.0000       +5.0000       +0.0000 mm
       +5.0000       +5.0000       +0.0000 mm
       +5.0000       +0.0000       +0.0000 mm
      +10.0000       +0.0000       +0.0000 mm
      +12.5000       +8.0000       +0.0000 mm
      +12.5000       +8.0000       +0.0000 mm
      +15.0000       +0.0000       +0.0000 mm
      +20.0000       +0.0000       +0.0000 mm
      +20.0000       +5.0000       +0.0000 mm
      +25.0000       +5.0000       +0.0000 mm
      +25.0000       +0.0000       +0.0000 mm
       +0.0000       +0.0000       +0.0000 mm
       +5.0000       +0.0000       +0.0000 mm
      +10.0000       +0.0000       +0.0000 mm
      +15.0000       +0.0000       +0.0000 mm
      +18.0000       +7.0000       +0.0000 mm
      +26.0000       +7.0000       +0.0000 mm
      +26.0000       -2.0000       +0.0000 mm
      +18.0000       -2.0000       +0.0000 mm
      +32.5000       +5.0000       +0.0000 mm
       +0.0000      +25.0000       +0.0000 mm
       +0.0000      +25.0000       +0.0000 mm
       +0.0000      +25.0000       +0.0000 mm
       +0.0000      +25.0000       +0.0000 mm
      +12.5000      +25.0000       +0.0000 mm
      +12.5000      +20.0000       +0.0000 mm
      +30.0000      +25.0000       +0.0000 mm
      +35.0000      +25.0000       +0.0000 mm
      +35.0000      +20.0000       +0.0000 mm
      +30.0000      +20.0000       +0.0000 mm
      +27.4772       +0.0000       +0.0000 mm
      +16.5228       +5.0000       +0.0000 mm
      +40.0000       +5.0000       +0.0000 mm
      +45.0000       +5.0000       +0.0000 mm
      +50.0000       +5.0000       +0.0000 mm
      +50.0000       +0.0000       +0.0000 mm
      +45.0000       +0.0000       +0.0000 mm
      +40.0000       +0.0000       +0.0000 mm
